text,department,urgency
VPN intermittently disconnects during remote work. Connections drop every 20–30 minutes while on client calls. Please review VPN logs and stability for my profile.,IT Support,Medium
"Request to map departmental research share. I need read/write access to the Biology research drive.
The path in the wiki returns “Access Denied.”
Could you confirm my group membership and map the drive?
No elevated privileges required.",IT Support,Low
"Canvas submission blocked by SSO loop. Right before deadline, sign-in passes then loops to login again. Tried different browsers and cleared cache.
Please break the loop or provide a temporary bypass.
This is time-critical for my grade.",IT Support,High
"MATLAB license request for course project. I need MATLAB installed with the university license.
Could you assist with activation on a managed laptop?",IT Support,Low
"OneDrive for Education sync conflicts across lab and office PCs. Edits on the lab machine create “conflicted copy” when opened in my office.
I reinstalled the client and cleared cache; issue persists.
Version history shows parallel edits despite single-user workflow.
Please review client version, throttling, and campus network egress.
Preserving version history is important for compliance.
Happy to share log files and affected folder IDs.
Kindly propose a safe clean-up process.",IT Support,Medium
"Library printer queue stuck at “Processing”. Jobs appear in the queue but nothing prints.
I restarted the spooler and re-added the printer.
Toner and paper are full.
Please check device status and backend print server.",IT Support,Medium
"MFA reset needed after phone replacement. Authenticator app on new device not recognized.
Urgent reset required to access email and LMS.

",IT Support,High
Trackpad lag on loaner laptop. Pointer stutters especially when Zoom is open. I updated drivers and toggled precision settings. It’s making note-taking oddly frustrating. Any recommended fixes?,IT Support,Low
SharePoint course folder permission missing after enrollment. I enrolled yesterday; folder link says I lack permission. Classmates can open it fine. Signed out/in and tried different browsers. TA verified my email is on the list. Still blocked with the same error. Could you grant access so I can download lab files? I’m catching up on lectures.,IT Support,Medium
Software Center installs failing with generic error. Several updates show retry without details. Please push remediation or advise steps.,IT Support,Low
Teams audio device not detected before thesis defense. Headset shows in system settings but not in Teams. Checked privacy permissions and drivers. Defense starts in an hour—please assist urgently. Policy refresh or workaround needed.,IT Support,High
SSL warning on internal faculty dashboard. Browser reports certificate name mismatch. Peers report identical interstitial warnings. Is this a renewal delay or misconfiguration? Please confirm SAN entries and chain trust. Provide guidance if pinning affects clients. A short post-incident note would help. Prefer resolution before grade submission week.,IT Support,Medium
"Request for lightweight image editor on lab PC. I only need crop/resize for a class assignment. If there’s a standard tool, please deploy to my profile. Open-source is fine. No admin rights necessary if via portal.",IT Support,Low
Proxy blocks vendor documentation site. Docs subdomain is categorized incorrectly. Please review and allow if appropriate.,IT Support,Medium
Reported phishing – fake bursar notice targeting students. Email requests payment via a suspicious external portal. I did not click links; others may have received it. Please initiate campus-wide alert and filter updates. Headers available for analysis. Kindly confirm incident response steps. Time-sensitive to prevent credential theft. Appreciate quick action.,IT Support,High
Brightness hotkeys stopped after update. Display is stuck too bright in lecture halls. Please help restore hotkey functionality.,IT Support,Low
Power BI workspace Contributor access request. Need to publish departmental dashboards. Read-only currently blocks refresh and edits. Please add my account to the correct security group. Workspace ID ready to share.,IT Support,Medium
"Exam portal times out on campus Wi‑Fi, works on hotspot. Sign-in spins indefinitely on eduroam. Cleared cache; tried multiple browsers. Exam closes in 45 minutes. Please fix routing or provide an immediate workaround.",IT Support,High
"Scheduled script misses run when laptop sleeps. Task is set for 3 a.m. local time. If the laptop sleeps, it never catches up. “Wake the computer” seems ineffective. Is there a recommended policy for this? Could this run on a server instead? Looking for reliability, not urgent. Thanks for best-practice guidance.",IT Support,Low
Webcam turns off randomly during Zoom seminars. Camera disconnects mid-call and won’t reconnect. It’s awkward in presentations—please advise.,IT Support,Medium
"New RA onboarding: bundle of standard academic tools. Research assistant starts Monday. Please provision accounts, licenses, and MFA. SharePoint and Git access aligned with project. Asset tag to follow.",IT Support,Low
SIS login failing for multiple faculty members. Authentication errors began this morning. Message shows invalid SSO token. Cache/cookie clears did not help. Please check IdP health and federation trust. Provide ETA and any workaround. This blocks grading submissions. Escalation requested.,IT Support,High
Library printer shows “quota exceeded” unexpectedly. I printed very little this month. Could you review and reset my quota?,IT Support,Medium
Outlook search misses recent messages. I can see them manually but search finds nothing. Index rebuild didn’t help; it slows me down. Open to a profile recreation if needed. Please advise a reliable fix.,IT Support,Low
Restore request – deleted lab dataset folder. A research folder was removed from the network share today. Please restore from last night’s backup. Needed for an IRB review this afternoon. Path and timestamp available.,IT Support,High
BSODs started after recent driver bundle. Blue screen roughly once per day. Event Viewer indicates driver power state failure. Display driver rollback did not fix it. Please advise stable driver versions or rollback plan. Memory/disk diagnostics passed. Logs are available. Moderate recurring impact.,IT Support,Medium
